Final Output:
ment-api1344-UAZ-r1-1289294-112-245206--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
(Reg Node)phosphorylation of 4EBP1--->[ELEMENT:(Reg Node)phosphorylation of 4EBP1;  positive reg: ['MEK'];  negative reg: [];  direct reg: ['phosphorylation of 4EBP1']]
ment-api1344-UAZ-r1-1289294-125-245067--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-176-244889--->[ELEMENT:BCR-ABL;  positive reg: [];  negative reg: ['Gleevec'];  direct reg: []]
(Reg Node)phosphorylation of p70S6K--->[ELEMENT:(Reg Node)phosphorylation of p70S6K;  positive reg: [];  negative reg: ['Rapamycin'];  direct reg: ['phosphorylation of p70S6K']]
(Reg Node)BAY43-9006--->[ELEMENT:(Reg Node)BAY43-9006;  positive reg: ['rapamycin'];  negative reg: [];  direct reg: ['BAY43-9006']]
ment-api1344-UAZ-r1-1289294-127-245073--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-109-244740--->[ELEMENT:4EBP1;  positive reg: ['(Reg Node)phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-119-245236--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-24-244774--->[ELEMENT:ERKs;  positive reg: ['(Reg Node)phosphorylation of ERKs'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-80-245092--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-110-245199--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-163-245142--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-117-245224--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-142-244810--->[ELEMENT:p70S6K;  positive reg: ['mTOR'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-84-244948--->[ELEMENT:proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-6-244844--->[ELEMENT:proliferation;  positive reg: [];  negative reg: ['BAY43-9006'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-26-244886--->[ELEMENT:ERK;  positive reg: ['over-expressing growth factor receptors'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-9-244755--->[ELEMENT:ERK;  positive reg: ['(Reg Node)phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-167-244759--->[ELEMENT:proliferation;  positive reg: ['(Reg Node)FGF-2'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-112-245207--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
