,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
604,il-9,protein,p15248,nan,nan,nan,nan,nan,il-5,protein,p05113,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4810120'],['nan'],1,0.1,40,1,40.1
605,il10,protein,p22301,nan,nan,nan,nan,nan,hl,protein,p11150,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8018158'],['nan'],1,0.1,40,1,40.1
578,il-3,protein,p08700,nan,nan,nan,nan,nan,stem cell factor,protein,p21583,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9007937'],['nan'],1,0.1,40,1,40.1
540,il-18,protein,q14116,nan,nan,nan,nan,nan,il-10,protein,p22301,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6658873'],['nan'],1,0.1,40,1,40.1
511,il-10,protein,p22301,nan,nan,nan,nan,nan,il-13,protein,p35225,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7773537'],['nan'],1,0.1,40,1,40.1
537,il-17a,protein,q16552,nan,nan,nan,nan,nan,il-23,protein,q9npf7,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7458458'],['nan'],1,0.1,40,1,40.1
513,il-10,protein,p22301,nan,nan,nan,nan,nan,mcl,protein,q8wxi8,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8750340'],['nan'],1,0.1,40,1,40.1
514,il-10,protein,p22301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,c5ar1,protein,p21730,nan,nan,i,['nan'],['nan'],['pmc6658873'],['nan'],1,0.1,40,1,40.1
518,il-10,protein,p22301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nps,protein,p0c0p6,nan,nan,i,['nan'],['nan'],['pmc9006034'],['nan'],1,0.1,40,1,40.1
519,il-10,protein,p22301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ox40,protein,p43489,nan,nan,i,['nan'],['nan'],['pmc8773791'],['nan'],1,0.1,40,1,40.1
520,il-10,protein,p22301,nan,nan,nan,nan,nan,r-848,chemical,159603,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8606765'],['nan'],1,0.1,40,1,40.1
521,il-10,protein,p22301,nan,nan,nan,nan,nan,tigit,protein,q495a1,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9807865'],['nan'],1,0.1,40,1,40.1
522,il-10,protein,p22301,nan,nan,nan,nan,nan,tlr2,protein,o60603,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8606765'],['nan'],1,0.1,40,1,40.1
523,il-10,protein,p22301,nan,nan,nan,nan,nan,tlr5,protein,o60602,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8606765'],['nan'],1,0.1,40,1,40.1
524,il-13,protein,p35225,nan,nan,nan,nan,nan,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5697351'],['nan'],1,0.1,40,1,40.1
525,il-13,protein,p35225,nan,nan,nan,nan,nan,granzyme b,protein,p10144,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5697351'],['nan'],1,0.1,40,1,40.1
527,il-13,protein,p35225,nan,nan,nan,nan,nan,il-8,protein,p10145,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5697351'],['nan'],1,0.1,40,1,40.1
528,il-13,protein,p35225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,t-bet,protein,q9ul17,nan,nan,i,['nan'],['nan'],['pmc6021366'],['nan'],1,0.1,40,1,40.1
529,il-13,protein,p35225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,th1,protein,q8ixh7,nan,nan,i,['nan'],['nan'],['pmc6021366'],['nan'],1,0.1,40,1,40.1
530,il-15,protein,p40933,nan,nan,nan,nan,nan,bcma,protein,q02223,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8304527'],['nan'],1,0.1,40,1,40.1
532,il-15,protein,p40933,nan,nan,nan,nan,nan,cd107a,protein,p11279,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8571204'],['nan'],1,0.1,40,1,40.1
535,il-17,protein,q16552,nan,nan,nan,nan,nan,immunity,biological process,go:0006955,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4782938'],['nan'],1,0.1,40,1,40.1
536,il-17a,protein,q16552,nan,nan,nan,nan,nan,cd26,protein,p27487,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7458458'],['nan'],1,0.1,40,1,40.1
450,gm-csf,protein,p04141,nan,nan,nan,nan,nan,bcma,protein,q02223,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9401500'],['nan'],1,0.1,40,1,40.1
